Raleigh-Durham,Wash D.C.,Jacksonville,Edmonton
39.47,31.01,50.99,-8.5
26.96,35.06,41,-0.85
24.98,22.01,34.52,-3.01
26.51,21.47,37.04,-0.22
26.51,29.03,35.51,-5.8
30.02,30.02,34.97,-10.57
33.98,32.54,40.01,-3.73
32,32.54,39.47,6.53
28.49,25.43,29.48,25.16
28.04,27.05,32.99,25.16
30.02,24.53,35.51,32.09
32.99,27.05,39.47,30.83
32.54,29.48,41,21.2
40.01,32,45.5,20.12
45.5,37.04,51.98,33.89
46.04,41.45,59,22.1
56.48,40.55,64.94,18.41
50.54,40.55,55.94,13.19
50.54,42.53,54.95,10.4
50.99,45.5,56.03,9.14
39.02,35.51,61.97,16.97
38.48,34.97,61.97,20.12
40.01,35.51,55.04,19.67
52.43,38.03,66.02,13.46
56.48,48.47,60.98,-1.57
41,50.99,52.52,-9.94
38.03,36.05,48.02,-9.58
46.49,36.5,50.99,2.39
37.04,36.05,52.52,6.17
23.54,22.55,59,13.1
27.5,15.53,42.98,9.5
32.99,23.54,50,15.08
32.99,29.48,55.49,14
42.08,34.43,49.01,20.39
37.04,35.96,54.5,10.58
37.58,35.96,64.49,2.75
33.53,35.96,53.06,1.58
32,35.96,43.97,19.31
33.98,35.96,45.5,19.58
35.96,25.07,50.45,12.2
32.99,28.04,44.96,18.95
37.49,26.51,40.01,14.99
32.54,32,41.99,4.19
35.06,32.45,41.99,15.71
35.51,31.46,43.97,13.82
40.01,27.5,51.44,22.46
33.98,32.99,41.54,13.19
33.98,30.02,40.46,28.31
39.02,32.99,42.98,20.93
39.47,38.48,50,13.64
41,39.02,53.51,8.33
44.96,35.51,53.51,16.79
43.97,40.46,60.53,9.23
46.49,40.01,61.52,16.34
42.53,40.01,50.54,17.69
36.05,39.47,41,22.19
39.47,35.51,42.44,20.93
40.55,33.53,44.51,20.39
38.57,37.49,48.02,24.08
41.45,41,50.45,27.95
37.58,39.02,54.5,25.79
38.57,39.02,48.47,23.99
43.52,38.03,43.52,29.3
38.03,41.54,45.95,27.59
42.44,41.54,46.49,26.15
43.52,44.96,47.03,26.06
48.02,46.49,54.05,24.89
54.05,47.48,57.56,14.63
59.54,52.97,61.52,23.18
60.53,52.52,66.02,24.17
60.53,56.03,65.48,28.85
58.46,50,62.51,28.31
53.51,50.99,54.5,28.31
50.99,48.02,56.48,35.78
45.5,47.48,54.05,38.12
49.55,49.55,50.54,34.88
56.48,53.06,54.5,30.56
55.49,54.5,59,25.97
59,56.48,59.45,36.41
60.53,59.45,60.98,33.53
55.04,66.47,54.95,24.8
52.52,55.49,55.49,29.39
56.48,49.55,59.54,21.2
62.42,55.04,62.96,32.63
51.44,59.99,66.47,30.47
44.96,39.47,57.47,41
53.51,39.47,63.5,44.87
59.45,50.54,62.06,44.15
60.08,50.54,59.54,41
59,50.45,63.05,41.27
63.5,57.47,66.47,35.69
70.97,61.52,65.48,35.42
67.55,62.51,67.46,36.32
70.43,60.53,68,37.58
72.95,64.58,71.51,34.79
76.01,68.99,69.98,40.55
74.03,77.45,73.04,41.09
71.51,78.98,74.03,41.45
56.03,66.47,61.97,37.04
56.03,48.02,59.99,30.2
58.46,52.52,65.93,22.64
62.06,64.58,63.5,35.6
65.03,61.43,63.95,36.95
49.01,47.03,64.49,47.03
56.48,53.06,62.51,39.47
68,62.96,63.5,51.71
67.01,71.42,68,50.54
53.51,51.44,67.55,50.36
53.96,50.99,62.96,56.03
58.01,54.5,61.97,58.19
56.48,54.5,68.45,60.98
59.54,56.03,68,49.73
59.99,61.97,70.52,41.99
67.01,61.52,74.48,34.7
71.51,59.99,74.48,41
68.54,66.02,72.5,42.17
59,59,67.01,45.14
53.96,53.06,59.99,41.09
56.48,50,62.51,41.72
66.47,58.55,72.95,41.09
75.02,67.55,79.52,41.27
81.95,77.54,82.94,44.6
75.02,76.46,83.03,41.54
69.98,74.03,80.51,32.99
72.5,68.45,78.53,29.93
79.97,72.95,81.5,30.29
75.47,66.56,77.54,39.74
76.01,63.5,80.06,40.73
58.46,61.97,68,41.36
55.04,52.52,67.01,43.43
61.97,52.97,72.5,43.79
74.48,55.49,73.49,51.08
69.98,66.02,72.5,53.42
79.43,57.02,73.49,52.25
81.5,74.57,76.01,54.14
74.48,67.01,80.06,62.33
66.47,65.48,77,63.14
58.46,58.01,78.98,72.95
63.5,52.97,80.51,61.79
68.45,58.01,77.99,48.11
68.99,68.99,78.53,37.22
74.03,75.02,77.45,39.74
72.5,71.96,78.98,41.18
68.54,68.99,76.46,48.38
71.06,71.96,73.94,51.35
72.5,70.07,74.48,54.5
75.56,77.99,77.99,52.52
75.56,77.45,78.53,46.31
74.48,68.99,77,37.31
78.53,72.95,78.53,39.56
78.53,77.45,81.5,44.15
77,81.95,80.51,47.21
79.52,76.46,81.5,55.67
79.52,81.05,82.04,50.72
80.96,79.52,80.51,53.51
82.49,80.51,83.93,53.87
82.49,82.49,83.48,56.93
73.04,75.02,81.95,53.87
73.49,68.54,76.01,51.62
77.99,70.52,77.54,48.2
82.49,67.46,79.97,50.99
80.51,77,84.47,50.9
80.96,76.46,82.49,58.73
84.02,82.49,84.02,66.38
82.04,82.49,86.54,57.47
82.94,79.07,88.52,52.61
82.04,76.01,86.99,52.88
81.05,75.02,84.02,51.26
78.53,73.04,82.49,60.62
83.03,76.01,83.57,63.05
82.94,82.49,82.49,62.96
81.05,82.49,80.96,63.86
83.57,80.06,81.5,60.71
85.01,82.49,82.49,59.45
86,87.08,83.48,62.24
85.46,86,84.02,60.53
85.01,79.52,85.01,61.7
86.99,82.04,85.01,59.81
86,88.97,83.48,61.7
85.55,83.93,83.48,66.38
73.58,77.99,79.97,54.77
72.5,72.5,80.51,50.45
70.43,68.99,79.52,52.16
72.05,71.51,80.51,57.2
77,75.47,80.51,53.78
80.51,82.58,80.51,54.32
83.48,86,80.51,61.25
85.55,88.43,77.99,61.34
86,89.51,81.5,64.58
83.48,84.02,86.54,68.36
82.49,84.02,85.55,60.8
84.56,84.02,85.01,60.35
80.51,84.02,82.49,55.85
82.49,79.52,85.46,55.4
81.95,80.51,84.92,64.13
83.57,79.52,82.04,62.96
86.99,82.94,80.96,56.66
79.97,85.01,84.47,58.55
83.03,84.02,83.03,59.18
84.02,83.48,84.92,57.92
85.55,81.5,85.55,58.19
86,83.48,83.48,58.55
86,85.46,84.02,63.32
87.98,84.02,81.95,63.5
89.51,89.51,85.55,65.21
91.04,90.95,86.54,63.77
85.46,90.95,86,59.18
77.45,77,87.44,56.39
83.93,80.96,86,64.31
85.46,85.01,84.56,66.83
81.05,80.51,89.51,64.13
71.06,75.47,86.45,64.94
72.5,77.54,85.55,62.15
77.99,75.56,84.02,61.61
81.05,77,86,61.16
84.47,81.5,84.47,59.54
84.47,84.47,84.02,60.17
81.95,83.03,86.54,67.37
80.51,77.54,84.47,62.87
80.51,76.46,82.49,61.61
82.04,82.49,83.48,61.88
85.46,85.46,83.48,64.31
88.07,87.53,83.03,62.42
86.45,84.56,84.02,60.71
80.96,79.97,86,60.26
80.96,72.5,84.02,60.44
83.48,76.55,85.01,57.74
84.47,75.02,85.46,61.16
85.46,83.03,86,56.93
85.55,79.97,86,59.63
79.52,70.52,87.53,56.84
80.51,77.99,86.54,52.61
78.44,81.5,85.55,55.4
82.04,82.04,86.45,52.7
80.51,81.5,84.47,52.16
76.46,76.01,83.48,53.87
73.49,68.99,85.01,60.98
77.99,73.49,83.03,62.6
78.98,73.49,79.52,54.14
79.97,73.49,80.51,48.56
78.44,75.56,78.44,46.58
81.5,79.97,79.52,45.68
80.96,79.97,81.5,48.56
82.04,82.49,78.98,47.66
77.54,84.56,79.52,51.89
86,83.93,80.51,56.03
73.04,79.52,82.04,48.83
70.52,68.99,80.96,45.86
73.94,69.53,81.95,43.43
79.97,76.01,81.05,45.23
81.05,80.96,80.06,45.23
74.93,77.99,82.49,51.26
72.95,68.99,84.02,51.44
72.5,63.95,85.01,50.63
76.46,68,84.47,44.06
75.02,63.95,80.06,48.38
78.08,71.51,74.93,42.62
76.46,68,74.48,42.89
80.96,71.96,75.56,38.39
84.02,77,77.45,34.07
76.01,67.01,77.45,38.3
76.55,66.56,78.53,37.22
78.53,71.51,77,40.19
77.99,63.95,77.99,39.2
83.03,65.03,77.99,40.46
85.01,80.51,77.54,45.41
83.03,80.51,79.52,47.93
83.03,82.58,79.52,62.6
76.01,78.53,80.51,52.52
72.5,67.01,79.52,59.45
72.5,72.5,76.01,53.51
66.02,68.99,75.47,48.92
72.5,63.95,73.04,45.86
66.56,70.07,74.48,46.22
61.97,59.99,70.97,53.87
60.98,59.45,69.98,47.84
60.53,58.01,66.02,51.8
58.01,51.98,65.93,46.58
57.02,55.58,62.51,55.22
64.49,56.03,64.94,53.51
63.5,60.53,68,53.15
66.02,63.05,70.52,55.13
69.53,65.48,70.97,58.73
72.5,64.49,71.96,41.81
72.5,72.5,70.97,45.05
70.52,66.56,72.05,47.12
63.05,59,73.04,51.08
57.02,59,63.5,39.2
56.03,57.47,63.5,35.15
59,56.48,63.05,33.89
65.48,61.52,63.5,41.18
66.47,58.01,66.47,46.58
58.46,56.93,69.98,43.52
63.5,54.5,67.55,41.36
55.49,56.03,66.47,39.74
56.48,50.99,67.01,32.45
62.51,59,70.97,35.51
69.53,65.48,75.56,30.92
72.5,68,77.99,25.79
80.06,71.06,79.52,26.06
71.51,70.52,80.51,31.73
53.06,64.49,64.58,34.25
50.45,47.93,64.49,35.96
59.54,50.54,68,35.87
54.5,50.45,67.01,39.29
49.46,44.06,65.48,43.07
50.45,43.52,64.49,39.83
50.99,47.57,66.47,45.95
50.45,48.56,51.44,43.25
45.5,47.03,47.48,35.87
41.54,44.51,49.55,29.75
48.92,46.49,51.53,30.65
55.04,52.97,59.54,28.49
54.95,54.5,59.54,23.99
52.97,51.53,59,24.26
50.99,45.5,56.57,32.09
50.54,50.54,56.48,31.28
50.99,50.54,56.03,33.44
54.95,50.54,60.08,34.97
60.44,53.51,63.95,19.04
52.43,56.48,58.46,8.33
48.02,50,55.49,2.12
47.48,45.5,55.94,-8.68
54.5,43.07,62.42,-4.45
53.51,51.53,62.51,-1.66
58.01,49.55,66.47,-12.91
65.48,55.94,68.54,-18.67
54.5,53.96,66.56,-8.5
50.99,53.96,72.5,23.18
58.01,49.46,72.5,26.06
43.97,49.46,51.98,14.81
39.02,49.46,52.97,12.74
41,37.04,65.48,7.7
60.44,37.04,75.47,8.06
50.45,57.02,54.05,6.17
37.49,45.95,41.45,17.6
41,36.95,46.94,12.02
34.97,34.97,54.05,4.73
34.97,36.05,50,5.81
31.46,34.97,39.02,-5.08
28.04,31.55,39.47,0.5
26.96,30.02,38.03,10.58
31.01,30.02,42.98,8.51
36.05,28.94,44.51,2.39
33.53,33.53,52.52,4.91
43.97,37.04,49.01,6.71
30.47,38.48,37.49,14.9
25.52,28.04,32.45,22.1
26.51,23,37.49,16.43
31.55,25.07,50.45,2.66
35.51,24.44,61.97,8.06
33.98,28.94,61.52,4.73
35.96,32,41.54,6.89
33.53,30.02,42.44,-1.93
35.06,31.55,47.93,-8.86
46.49,33.44,59.99,-12.82
38.48,37.49,43.97,-8.05
34.43,35.96,42.98,2.12
38.03,34.97,49.55,6.08
29.57,32.45,45.95,12.38
28.49,27.95,37.49,5.36
32.99,31.46,37.49,6.71
35.51,35.51,42.08,0.5
35.06,35.51,48.02,-7.51
44.96,34.97,57.47,-5.8
50.99,38.03,60.98,7.25
49.55,39.47,63.95,24.62
35.51,34.07,47.57,20.03
38.48,29.93,51.53,25.16
36.05,35.51,44.96,25.43
40.01,32,50.99,22.64
38.48,32,47.03,13.46
34.07,29.48,48.02,15.35
27.05,26.96,40.01,5
30.02,26.96,51.53,-10.03
30.02,28.49,40.46,-17.41
32,29.57,38.48,-20.65
31.01,30.47,34.97,-10.12
30.02,30.47,39.02,-12.1
38.03,27.95,44.06,-11.29
39.02,32,49.46,-7.42
38.03,32,48.47,-6.25
39.47,29.03,59.99,1.13
51.53,32.45,53.51,10.94
39.56,43.07,53.51,20.93
37.49,37.94,50.99,27.14
24.53,26.96,41.99,20.84
31.01,20.03,41,25.88
32.45,20.48,43.97,20.3
40.55,23,50.99,24.89
40.46,35.96,51.44,30.92
38.03,32.99,46.49,34.25
41.99,32.54,50.54,24.71
41,31.46,55.04,2.57
52.07,29.93,56.93,-19.21
41,35.96,59.54,-27.31
43.52,29.57,60.08,-6.61
56.03,32,68,22.91
38.03,39.47,52.07,30.02
35.06,30.02,48.47,37.67
41.99,30.02,59.99,24.62
41.99,33.53,52.52,1.04
43.97,37.49,50.99,-11.47
40.01,41.54,45.5,-9.58
36.05,29.48,48.47,4.64
36.05,28.49,48.02,33.26
36.05,25.52,45.05,31.73
40.55,32.99,47.03,29.84
42.98,37.49,47.48,28.67
54.95,44.96,52.97,23.54
44.51,49.55,52.97,12.92
48.47,36.95,59,-3.91
55.49,47.57,65.48,-9.76
65.03,59.54,65.48,-17.95
58.01,63.05,65.03,-18.58
46.49,43.97,60.53,-1.48
59.99,44.96,68.99,6.26
49.01,34.52,72.5,9.05
41,28.94,59.99,-6.25
48.02,37.49,63.5,-16.96
57.47,43.52,68.45,-8.23
47.03,43.52,69.44,14.9
62.51,41.99,68.99,8.24
68.99,41.99,70.52,-13.72
48.47,53.06,60.53,-21.01
48.02,38.93,57.47,-12.64
44.06,46.04,61.52,-9.58
43.97,35.06,64.49,-2.02
56.03,41.54,67.01,0.05
51.98,57.02,64.04,-9.13
43.97,49.01,50.99,-10.66
42.98,40.46,58.46,-5.89
50,40.55,68.54,7.16
55.04,44.06,58.01,4.37
43.52,44.06,49.46,-4.27
50,44.51,52.97,4.55
60.98,50.54,58.55,14
50.45,46.94,61.52,29.3
49.01,43.97,65.03,20.66
55.49,44.06,67.01,19.94
53.51,50.45,61.07,28.58
65.48,57.56,65.48,22.28
65.48,67.01,68.99,18.41
51.08,50,64.49,25.79
63.5,47.48,65.57,25.88
69.44,58.46,71.06,25.88
66.47,55.49,70.97,24.17
59,46.04,73.04,20.84
49.55,37.49,62.96,18.32
44.51,42.53,65.93,18.86
37.49,37.04,76.01,23.54
39.92,38.03,64.04,26.78
45.5,41.45,58.55,31.19
43.97,45.05,68,31.64
43.97,43.52,67.01,35.96
46.49,40.01,60.98,32.63
50.99,44.51,64.04,30.2
52.07,44.96,62.51,27.05
70.43,53.06,73.49,35.15
59,68.54,58.55,27.05
50.99,49.01,56.48,28.49
62.51,53.96,65.93,26.24
67.55,58.46,72.95,26.51
52.52,49.01,77.99,34.79
61.97,48.56,77.45,36.05
72.05,59.54,75.56,39.47
65.03,73.04,66.56,32.63
59.45,57.47,66.47,34.07
59,51.53,64.94,29.66
62.42,60.53,68.99,26.87
64.94,60.98,76.01,25.79
58.01,57.02,62.96,26.87
65.03,59,62.51,28.22
70.43,65.48,75.02,32.72
74.03,61.07,77,34.43
64.04,69.53,76.01,35.96
54.5,57.02,76.46,37.4
66.02,44.96,76.01,37.76
74.57,60.53,75.02,40.82
75.02,70.52,73.58,45.86
75.47,73.49,79.43,45.77
77.54,78.08,81.5,43.79
69.53,78.08,78.44,38.03
63.95,64.94,69.53,39.92
61.52,59.99,66.47,41.9
64.49,60.98,70.97,43.07
69.44,58.01,70.43,49.1
73.94,68.99,73.58,49.01
60.53,64.49,65.03,47.66
55.04,55.49,61.52,44.42
58.01,58.01,68.54,47.84
63.5,63.05,65.93,43.88
62.06,62.96,70.52,47.48
65.03,64.49,76.55,45.23
68,62.51,78.53,51.08
68,67.01,79.97,60.17
63.05,66.56,76.01,60.98
70.52,68.99,82.04,52.16
70.97,65.03,74.48,56.93
71.51,65.03,70.52,54.59
67.01,69.98,64.49,60.62
64.94,71.06,63.5,55.13
65.03,69.98,63.05,49.01
65.57,67.01,68.54,57.92
69.53,64.49,76.01,58.1
69.53,65.03,80.51,60.26
74.03,73.58,80.51,60.53
78.53,76.01,81.05,48.74
81.5,74.48,81.5,47.75
78.98,74.48,78.53,47.39
83.03,76.46,79.52,56.21
73.49,76.55,79.52,55.58
75.47,77.54,78.98,49.28
79.52,76.01,78.98,45.5
81.95,80.51,76.01,55.31
82.49,82.94,76.46,52.07
82.49,87.44,81.05,54.32
82.49,82.49,77,52.34
75.47,73.49,77.99,45.5
72.5,70.52,79.52,43.61
79.52,73.04,79.97,53.06
79.52,74.48,85.01,52.79
78.53,77,79.52,55.13
84.47,78.53,76.46,55.67
85.46,87.44,74.03,58.73
84.02,86,75.02,62.24
81.95,86,77,56.57
80.42,82.49,80.51,56.84
77,80.06,82.49,56.66
74.03,73.04,83.57,56.93
70.43,67.01,84.56,54.41
79.52,72.5,81.5,53.33
79.43,74.03,81.95,56.48
81.5,78.98,79.97,55.4
78.98,76.55,84.02,57.65
81.05,75.02,84.56,58.01
83.03,72.95,85.46,57.56
84.02,80.96,83.57,58.82
82.94,81.95,84.47,65.84
84.02,79.97,80.51,58.1
79.52,81.05,82.04,54.32
80.96,76.46,82.49,59
83.03,79.52,80.51,62.15
85.46,75.02,78.53,60.8
80.51,83.48,82.49,65.84
78.53,75.02,80.96,57.2
78.98,77.99,78.53,55.67
80.51,77,79.07,55.58
84.47,84.02,77.99,61.61
84.47,81.95,79.97,53.96
80.96,78.98,83.48,59.45
81.05,82.49,83.03,64.76
81.95,80.96,81.05,67.01
82.94,83.48,79.52,58.82
81.05,79.97,83.48,57.56
80.51,80.96,83.48,59.45
85.01,83.48,83.48,58.37
89.06,84.47,84.02,58.73
86.45,86,86,62.87
78.08,77.99,84.92,61.88
73.04,77,78.98,57.56
76.01,75.02,76.01,58.73
77.99,80.51,80.96,66.38
80.96,80.96,77.99,67.19
83.03,84.02,78.44,63.68
87.53,85.01,84.02,57.11
89.51,86.99,85.01,57.02
90.5,91.04,84.02,50.81
90.5,92.03,84.02,52.79
89.96,92.03,84.47,63.5
85.46,86.99,83.48,62.33
83.03,85.01,82.49,60.62
86,84.47,82.04,58.73
88.52,81.5,80.51,58.82
89.51,85.01,83.48,56.93
87.53,93.02,84.56,57.65
78.98,86,86,60.35
82.49,86.99,83.03,59.45
83.48,85.46,83.03,55.31
85.55,90.05,83.03,58.28
86,83.57,87.98,57.38
82.49,77.99,87.98,59.63
81.05,81.95,84.47,60.17
85.55,81.5,86.99,52.52
84.56,83.48,85.01,60.53
83.48,84.56,85.46,62.15
81.95,83.93,83.03,61.25
80.06,81.05,86,61.88
79.52,75.56,85.55,59
76.55,80.96,83.57,66.02
76.01,78.53,83.03,63.14
74.48,77,84.47,52.61
76.01,77.99,80.51,54.68
76.55,76.55,81.05,52.88
79.07,78.98,81.5,51.53
80.06,78.98,80.51,52.25
79.07,78.44,82.49,62.06
81.5,81.5,83.03,66.2
79.52,80.96,84.56,64.22
75.02,71.51,82.04,58.55
76.46,70.97,80.51,60.8
81.5,76.46,82.04,55.22
81.5,77.45,86,56.12
75.02,77.54,86.45,61.34
80.51,74.03,85.01,58.55
78.44,73.49,84.02,63.95
74.03,69.98,82.94,50.99
72.5,72.5,82.49,46.76
73.04,73.04,79.07,47.93
76.46,76.01,75.02,51.89
78.08,72.95,78.53,50.18
78.53,77.54,78.08,59.18
78.98,80.51,84.47,57.29
80.96,76.01,76.01,58.73
76.01,66.02,74.03,61.97
73.49,71.42,73.49,63.5
73.94,75.02,74.03,62.96
75.56,73.94,79.07,60.35
76.46,77,81.5,48.29
76.55,74.03,78.98,46.58
75.47,74.48,78.53,41.99
77.54,76.01,77.45,50.72
73.49,77.99,79.43,53.96
57.56,77.99,79.97,52.34
58.01,77.99,71.51,47.39
63.5,77.99,74.03,45.23
67.55,77.99,71.51,50.45
71.06,66.02,77.99,46.76
74.93,67.55,79.52,58.19
76.01,72.5,80.06,57.56
69.98,76.01,80.51,58.46
72.5,69.44,80.51,53.78
75.02,70.97,81.05,65.75
76.46,71.06,80.51,57.65
80.06,77,80.51,52.34
74.93,74.03,81.05,43.43
72.5,75.47,79.52,44.06
69.98,68,78.53,54.59
55.49,67.01,65.03,43.07
53.51,49.01,62.51,41.36
55.04,49.55,62.96,43.7
58.01,51.53,63.95,41.72
62.96,61.52,67.01,45.95
62.51,62.96,71.96,46.4
59.45,60.53,74.48,48.74
59.54,62.06,72.5,42.08
64.49,64.49,76.01,47.48
65.48,63.5,77.45,41.81
64.49,69.53,78.53,43.97
70.52,71.51,74.48,44.33
73.04,68.54,75.47,43.07
63.5,70.97,68.99,37.94
60.44,70.97,68.45,34.34
60.53,60.44,70.43,33.17
69.98,61.97,69.98,37.04
70.97,61.97,73.04,44.51
60.98,61.97,65.03,43.79
53.51,62.96,54.5,36.41
53.51,55.49,54.95,35.42
54.95,52.52,55.49,39.65
54.5,57.47,59.45,35.78
57.47,55.49,63.5,31.55
58.01,56.48,62.06,32.72
60.44,59.45,69.53,31.46
65.48,59.45,71.96,31.46
52.97,51.98,70.97,29.03
43.97,45.5,59,35.87
43.97,36.5,58.55,39.02
44.96,43.43,63.5,35.69
49.01,45.5,58.46,31.1
49.01,49.01,60.98,33.17
51.44,48.47,67.01,35.78
50.99,53.96,58.46,15.98
46.49,48.47,54.5,19.67
52.43,41.54,58.46,19.22
54.5,47.48,67.01,27.86
54.95,51.98,67.46,25.25
55.04,53.06,63.5,23.9
53.42,54.5,61.97,39.38
43.07,54.5,49.46,36.05
48.47,40.55,50,30.11
53.42,51.53,59.99,29.03
65.93,56.03,63.05,23.18
70.07,65.03,69.98,11.12
70.52,63.05,73.94,20.12
48.02,54.05,64.58,13.55
39.02,41,55.04,-7.06
45.5,37.04,63.5,-10.48
59.99,47.03,67.46,-17.41
68.54,61.97,67.55,1.94
68.99,57.47,69.44,21.11
61.43,56.48,67.46,26.42
50.99,48.02,57.47,17.15
52.52,48.47,60.98,19.85
54.5,50.45,67.01,21.2
63.05,53.51,67.01,38.21
65.57,61.97,66.56,25.16
53.42,62.96,53.06,29.75
43.52,52.97,47.48,21.2
42.44,52.97,50.99,25.34
46.49,41,53.42,25.79
46.04,43.43,55.04,22.73
47.48,41.45,64.49,16.88
58.01,44.42,65.03,25.7
66.02,50.45,67.01,35.06
57.02,52.97,59.99,10.13
42.08,47.03,47.03,2.93
43.52,35.96,57.02,24.8
44.51,40.01,55.58,23.99
38.48,35.51,56.48,23.36
40.01,32,55.49,15.44
46.94,36.5,56.93,18.41
49.55,36.5,59,16.16
55.49,41,60.98,11.03
54.5,53.96,60.98,23.09
39.92,41.54,61.97,31.1
37.94,34.52,50.99,19.31
42.98,34.52,55.94,20.93
50.99,38.03,60.98,36.68
59.99,50.99,66.92,21.56
64.49,53.51,69.44,22.01
56.48,53.51,68.99,27.77
43.97,46.04,62.06,28.49
42.98,37.04,65.03,35.24
43.97,41,59.99,28.49
53.06,42.08,59,20.75
45.5,48.02,49.46,15.53
41,37.49,50,23.63
49.01,36.95,53.96,17.15
52.43,44.06,62.96,13.55
51.53,47.03,59.99,7.25
43.52,47.48,51.44,23.27
29.57,34.97,34.52,26.69
31.55,24.08,37.94,36.14
42.53,25.97,49.46,30.47
49.55,37.94,53.51,22.55
55.49,48.47,57.56,22.19
53.51,51.98,58.55,32.81
45.95,40.01,60.98,36.68
49.46,35.51,61.43,21.92
52.07,34.97,64.04,11.03
51.53,39.47,60.44,23.18
42.53,47.03,50.45,21.74
34.52,33.53,42.44,16.16
37.04,31.01,48.02,2.39
36.95,27.95,49.01,-19.03
53.51,33.44,57.92,-23.62
46.49,49.55,54.5,-20.11
37.94,31.46,48.47,-14.26
45.05,33.08,55.49,-12.28
46.94,32.99,61.97,2.84
34.52,31.01,62.06,15.8
44.51,31.55,68,17.6
53.51,39.56,68,20.39
49.01,46.04,63.5,24.35
54.5,43.52,67.46,22.1
57.56,50.99,59.54,21.92
47.03,48.47,55.04,20.12
42.53,41.99,50.99,26.69
44.06,40.01,47.03,26.6
51.98,40.01,52.52,27.95
58.46,52.52,62.51,18.77
59,56.03,66.02,18.23
45.95,46.58,61.52,24.44
46.49,43.52,65.48,26.42
41,41,68,23.81
39.92,36.5,60.98,12.29
44.51,39.02,59.45,17.87
40.01,42.98,59,10.85
39.56,38.03,55.04,7.61
39.47,37.94,61.52,-0.94
36.5,39.02,46.49,8.42
31.55,39.02,36.05,25.88
36.95,27.5,40.55,25.97
49.55,39.02,51.53,19.4
52.52,42.44,61.97,23.27
50,45.95,66.47,17.78
52.52,43.43,63.5,26.69
52.43,41.99,62.96,20.57
43.52,43.52,70.43,25.25
39.47,38.48,50.45,19.04
42.98,39.56,55.49,27.32
55.49,41.99,60.98,27.86
59.45,51.53,74.48,28.67
64.04,57.47,72.05,21.02
44.51,47.93,51.08,12.47
39.47,40.55,48.47,-3.91
41,39.56,63.5,1.49
53.51,49.01,65.48,5.36
66.02,48.47,72.5,-0.4
52.52,54.95,73.04,8.96
58.01,60.98,75.47,29.57
43.97,51.44,58.01,29.84
41.99,39.02,57.02,24.35
40.46,36.5,55.49,10.76
51.98,41,66.92,24.53
61.52,55.04,65.48,28.49
50.45,60.98,70.52,38.12
48.02,46.49,62.96,30.83
47.48,41.99,67.55,25.16
57.56,52.52,68,33.17
67.55,55.94,66.56,32.54
68.99,68,69.98,27.05
68.99,66.02,67.55,26.33
68.99,65.93,69.53,34.61
68.45,52.97,69.98,29.03
63.95,63.05,68,33.26
65.03,61.52,68.99,26.15
69.44,65.48,68.54,24.26
67.55,66.02,69.44,27.86
69.53,64.94,71.51,26.06
71.51,67.01,72.5,19.04
63.5,73.58,68.45,16.34
61.97,57.02,66.47,30.2
65.03,55.04,64.49,29.57
50.54,46.49,65.57,35.69
61.07,47.03,68.54,40.46
69.44,60.98,73.04,41.18
62.96,51.98,70.52,37.94
67.46,50.99,68.99,36.23
59,56.03,71.96,33.8
60.98,57.02,76.46,39.38
59.54,49.55,75.02,45.41
70.97,59.99,76.46,40.73
54.95,62.51,75.02,33.62
51.44,62.51,68.45,30.65
52.52,56.03,58.46,32.36
56.93,54.95,61.52,30.47
59.45,56.48,67.55,30.47
59.99,55.58,68,40.73
50.45,53.96,67.01,48.47
