CODE,COUNTRY,CHNONCATPCT,CHCATPCT,JDGENPCT,ISGENPCT,BUGENPCT,ZOGENPCT,HIGENPCT,SIGENPCT,SHGENPCT,BAGENPCT,TAGENPCT,JAGENPCT,COGENPCT,SYGENPCT,ANGENPCT,NORELPCT,OTGENPCT
AFG,Afghanistan,0.0003,0,0,0.9956,0.0001,0.0001,0.0003,0.0001,0,0.0001,0,0,0,0,0.0001,0.002,0.0014
ALB,Albania,0.0831,0.1313,0,0.63,0,0,0,0,0,0.0022,0,0,0,0,0,0.1507,0.0027
DZA,Algeria,0.008,0,0,0.99,0,0,0,0,0,0,0,0,0,0,0,0,0.002
AND,Andorra,0.0526,0.8544,0,0.009,0,0,0.0035,0,0,0,0,0,0,0,0,0.0796,0.0009
AGO,Angola,0.2712,0.62,0,0.0104,0.0001,0,0,0,0,0.0001,0,0,0,0,0.0759,0.0179,0.0044
#N/A,Antigua and Barbuda,0.814,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.059,0.027
ARG,Argentina,0.1015,0.75,0.0068,0.0151,0.0002,0,0,0,0,0.0001,0,0,0,0,0.0007,0.12,0.0055
ARM,Armenia,0.951,0,0.0002,0.0003,0,0,0,0,0,0,0,0,0,0.013,0,0.0346,0.0009
AUS,Australia,0.4117,0.2028,0.0045,0.0223,0.0247,0.0001,0.0084,0.0014,0,0.0007,0,0,0.0026,0.0033,0.0028,0.3101,0.0046
AUT,Austria,0.09,0.64,0.001,0.0475,0,0,0,0,0,0,0,0,0,0,0,0.1542,0.0673
AZE,Azerbaijan,0.0241,0,0.0009,0.95,0,0,0,0,0,0,0,0,0,0,0,0.0193,0.0057
BHS,Bahamas,0.826,0.14,0.001,0,0,0,0,0,0,0,0.0003,0,0,0,0.0032,0.029,0.0005
BHR,Bahrain,0.0715,0.0265,0,0.896,0,0,0,0,0,0,0,0,0,0,0,0,0.006
BGD,Bangladesh,0.0014,0.0006,0,0.897,0.006,0,0.09,0.0001,0,0.0001,0,0,0,0,0.0035,0.0008,0.0004
BRB,Barbados,0.6037,0.0397,0.0001,0.008,0.0004,0,0.0042,0,0,0,0,0,0,0,0,0.205,0.1389
BLR,Belarus,0.4977,0.0707,0.0013,0.002,0,0,0,0,0,0,0,0,0,0,0,0.411,0.0173
BEL,Belgium,0.067,0.625,0.0028,0.05,0.003,0,0.0007,0.0003,0,0,0,0,0,0,0,0.192,0.0593
BLZ,Belize,0.332,0.4045,0,0.0019,0.0025,0,0.002,0,0,0.0007,0,0,0,0,0,0.1562,0.1002
BEN,Benin,0.1559,0.2441,0,0.2647,0,0,0,0,0,0.0003,0,0,0,0,0.284,0.0334,0.0177
BTN,Bhutan,0.0091,0.0031,0,0.01,0.8402,0,0.1039,0,0,0,0,0,0,0,0.0324,0.0003,0.0011
BOL,Bolivia,0.1338,0.8088,0,0.0001,0.0004,0,0,0,0,0,0,0,0,0.0001,0.0158,0.04,0.0011
BIH,Bosnia and Herzegovina,0.37,0.15,0.0003,0.45,0,0,0,0,0,0,0,0,0,0,0,0.0293,0.0004
BWA,Botswana,0.6365,0.0555,0,0.0274,0.0006,0,0.0014,0.0001,0,0.0019,0,0,0,0.0001,0.2351,0.0249,0.0166
BRA,Brazil,0.2863,0.596,0.0006,0.0002,0.0013,0,0,0,0.0008,0.0002,0,0,0,0.0002,0.023,0.085,0.0063
BRN,Brunei,0.0166,0.0134,0.0001,0.8129,0.07,0,0,0,0,0,0,0,0,0.0364,0.0364,0.0118,0.0024
BGR,Bulgaria,0.8142,0.0085,0.0003,0.1289,0,0,0,0,0,0,0,0,0,0,0,0.0473,0.0009
BFA,Burkina Faso,0.0535,0.24,0,0.579,0,0,0,0,0,0.0001,0,0,0,0,0.122,0.005,0.0003
BDI,Burundi,0.275,0.614,0,0.025,0,0,0.0008,0,0,0.0008,0,0,0,0,0.0809,0.0026,0.0009
KHM,Cambodia,0.0032,0.0005,0,0.0192,0.9669,0,0,0,0,0,0,0,0,0,0.0026,0.0039,0.0036
CMR,Cameroon,0.2351,0.2601,0,0.214,0,0,0,0,0,0.0019,0,0,0,0,0.2798,0.0073,0.0017
CAN,Canada,0.3459,0.4202,0.0099,0.0194,0.0194,0.0002,0.008,0.008,0,0.0005,0.0001,0.0001,0.0001,0.0008,0.0021,0.1643,0.001
CPV,Cape Verde,0.0594,0.8884,0,0.032,0,0,0,0,0,0,0,0,0,0,0.0013,0.0179,0.001
CAF,Central African Republic,0.2582,0.2338,0,0.15,0,0,0,0,0,0.0022,0,0,0,0,0.34,0.0124,0.0033
TCD,Chad,0.1937,0.1463,0,0.552,0.0002,0,0,0,0,0.002,0,0,0,0.0003,0.1001,0.0025,0.003
CHL,Chile,0.1542,0.7586,0.0012,0.0003,0.0002,0,0,0,0,0,0,0,0,0.0001,0.0088,0.06,0.0167
CHN,China,0.05,0.008,0,0.025,0.126,0,0,0,0,0,0.0034,0,0,0.42,0.0399,0.325,0.0027
COL,Colombia,0.1501,0.82,0.0002,0.0006,0,0,0.0002,0,0,0.001,0,0,0,0,0.0088,0.015,0.0041
COM,Comoros,0,0.0013,0,0.9806,0,0,0,0,0,0.0009,0,0,0,0,0.0147,0.0024,0.0002
COG,Congo (Republic of),0.3198,0.4865,0,0.0193,0,0,0,0,0,0.0064,0,0,0,0.0001,0.0524,0.0737,0.0417
CRI,Costa Rica,0.1022,0.78,0.0009,0,0.0003,0,0.0001,0,0,0,0,0,0,0.0079,0.0003,0.1,0.0084
HRV,Croatia,0.0509,0.8628,0.0001,0.0147,0,0,0,0,0,0,0,0,0,0,0,0.0565,0.015
CUB,Cuba,0.0589,0.6,0.0001,0.0007,0,0,0.0022,0,0,0,0,0,0,0.5,0,0.1315,0
CYP,Cyprus,0.7275,0.0178,0.0002,0.2027,0,0,0,0,0,0,0,0,0,0,0,0.032,0.0198
CZE,Czech Republic,0.0166,0.1972,0.0007,0.0001,0,0,0,0,0,0,0,0,0,0,0,0.7575,0.0279
COD,Democratic Republic of the Congo,0.4302,0.5,0,0.013,0.0001,0,0.0014,0,0,0.0029,0,0,0,0,0.0472,0.0051,0.0002
DNK,Denmark,0.8103,0.0069,0.0004,0.0401,0.0008,0,0,0,0,0.0001,0,0,0,0,0.0001,0.1011,0.0402
DJI,Djibouti,0.007,0.0069,0,0.975,0,0,0.0004,0,0,0.0009,0,0,0,0,0,0.0096,0.0002
DMA,Dominica,0.15,0.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06,0.02
DOM,Dominican Republic,0.15,0.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0.12,0.01
TLS,East Timor,0.015,0.965,0,0.007,0.001,0,0,0,0,0,0,0,0,0,0.0067,0.0039,0.0015
ECU,Ecuador,0.033,0.87,0.0001,0.0001,0.0005,0,0,0,0,0.0001,0,0,0,0,0.0025,0.085,0.0088
EGY,Egypt,0.12,0.0012,0,0.8643,0,0,0,0,0,0,0,0,0,0,0,0.01,0.0045
SLV,El Salvador,0.276,0.585,0.0001,0.0003,0,0,0,0,0,0,0,0,0,0,0.0038,0.111,0.0238
GNQ,Equatorial Guinea,0.0499,0.8421,0,0.0394,0,0,0.0005,0,0,0.0051,0,0,0,0,0.0172,0.0344,0.0114
ERI,Eritrea,0.535,0.04,0,0.4012,0,0,0.0002,0,0,0.0003,0,0,0,0,0.0075,0.0128,0.003
EST,Estonia,0.2796,0.0041,0.0013,0.0015,0.001,0,0.0003,0,0,0,0.0001,0,0,0.0001,0.0037,0.6903,0.018
ETH,Ethiopia,0.6086,0.007,0.0001,0.3444,0,0,0.0001,0,0,0.0003,0,0,0,0,0.0377,0.0013,0.0007
FSM,Federated States of Micronesia,0.3469,0.5182,0,0,0.0059,0,0,0,0,0.0072,0,0,0,0.003,0.0676,0.0315,0.0197
FJI,Fiji,0.5178,0.1222,0,0.06,0,0,0.28,0.0049,0,0.0026,0,0,0,0,0.0016,0.0105,0.0004
FIN,Finland,0.794,0,0.0002,0.0045,0.0009,0,0,0,0,0.0003,0,0,0,0.0007,0,0.166,0.0332
FRA,France,0.0569,0.645,0.0077,0.0789,0.0104,0,0.0008,0,0,0,0,0,0,0.0036,0.0018,0.1915,0.0035
GAB,Gabon,0.2966,0.4506,0,0.15,0,0,0,0,0,0.0004,0,0,0,0,0.0838,0.016,0.0025
GMB,Gambia,0.0108,0.0327,0,0.9,0,0,0.0002,0,0,0.0053,0,0,0,0,0.0436,0.0052,0.0022
GEO,Georgia,0.7908,0.0072,0.0027,0.099,0,0,0,0,0,0,0,0,0,0,0.005,0.0876,0.0077
DEU,Germany,0.3932,0.3146,0.0015,0.049,0.003,0,0.0012,0.0003,0,0.0001,0,0,0,0,0,0.23,0.0071
GHA,Ghana,0.5724,0.131,0,0.176,0,0,0,0,0,0,0,0,0,0,0.053,0.06,0.0076
GRC,Greece,0.9393,0.0045,0.0005,0.024,0,0,0,0,0,0,0,0,0,0,0,0.0261,0.0056
GRD,Grenada,0.37,0.5,0,0.0049,0,0,0.0024,0,0,0.0014,0,0,0,0,0,0.0481,0.0732
GTM,Guatemala,0.4,0.55,0.0001,0.0001,0,0,0,0,0,0,0,0,0,0,0.0002,0.0459,0.0036
GIN,Guinea,0.0395,0.0405,0,0.85,0.0009,0,0,0,0,0,0,0,0,0,0.0659,0.0019,0.0013
GNB,Guinea-Bissau,0.0232,0.0856,0,0.3991,0,0,0,0,0,0.0002,0,0,0,0,0.475,0.0162,0.0006
GUY,Guyana,0.4775,0.08,0,0.075,0,0,0.295,0,0,0.0063,0,0,0,0.0013,0.0111,0.05,0.0037
HTI,Haiti,0.1,0.72,0,0.0002,0,0,0,0,0,0.0009,0,0,0,0.45,0,0.1,0
HND,Honduras,0.32,0.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.0099
HUN,Hungary,0.2011,0.4725,0.0011,0.0005,0,0,0,0,0,0,0,0,0,0,0,0.2716,0.0532
ISL,Iceland,0.8851,0.0304,0,0.005,0.0034,0,0,0,0,0.0012,0,0,0,0,0.0044,0.0325,0.0378
IND,India,0.0159,0.0075,0,0.134,0.0077,0.0001,0.8045,0.0187,0,0.0014,0,0.0041,0,0.0001,0.0024,0.0031,0.0004
IDN,Indonesia,0.076,0.03,0,0.8399,0.008,0,0.015,0.0001,0,0.0001,0,0,0,0.0086,0.0133,0.0075,0.0015
IRN,Iran,0.0016,0,0.0001,0.99,0,0,0,0,0,0.0041,0,0,0,0,0,0.0036,0.0007
IRQ,Iraq,0.0106,0.0083,0,0.95,0,0,0,0,0,0,0,0,0,0,0,0.011,0.0201
IRL,Ireland,0.0647,0.8652,0.0004,0.0058,0.0002,0,0,0,0,0.0003,0,0,0,0,0,0.0605,0.0029
ISR,Israel,0.0067,0.0133,0.731,0.1999,0,0,0,0,0,0,0,0,0,0,0,0.045,0.0042
ITA,Italy,0.0026,0.7913,0.0006,0.0116,0.0001,0,0.0001,0.0004,0,0.0001,0,0,0,0.0008,0,0.1868,0.0055
CIV,Ivory Coast,0.098,0.277,0,0.375,0.0005,0,0.0001,0,0,0.0015,0,0,0,0,0.24,0.0058,0.0021
JAM,Jamaica,0.6679,0.0202,0.0002,0.0005,0.0001,0,0.0056,0,0,0.0001,0,0,0,0,0,0.1994,0.106
JPN,Japan,0.0112,0.0084,0,0.0015,0.6907,0,0.0002,0,0.8474,0.0001,0,0,0.0009,0.0023,0.0001,0.095,0
JOR,Jordan,0.025,0.005,0,0.97,0,0,0,0,0,0,0,0,0,0,0,0,0
KAZ,Kazakhstan,0.29,0,0.0002,0.5932,0,0,0,0,0,0,0,0,0,0,0,0.1152,0.0013
KEN,Kenya,0.5264,0.2799,0,0.1045,0,0,0.0044,0.0011,0,0.0062,0,0.0019,0,0,0.0712,0.0033,0.0011
KIR,Kiribati,0.41,0.55,0,0,0.0001,0,0,0,0,0.02,0,0,0,0,0,0.01,0.0099
KOS,Kosovo,0.0148,0.0221,0,0.9561,0,0,0,0,0,0,0,0,0,0,0,0.0059,0.0011
KWT,Kuwait,0,0,0,0.9195,0,0,0.04,0,0,0,0,0,0,0,0,0,0.0405
KGZ,Kyrgyzstan,0.1007,0,0.0001,0.7702,0,0,0,0,0,0,0,0,0,0,0,0.05,0.079
LAO,Laos,0.0105,0.0045,0,0.01,0.6773,0,0,0,0,0.0085,0,0,0,0.0024,0.275,0.0111,0.0007
LVA,Latvia,0.5487,0.2415,0.0027,0.0001,0.0001,0,0.0001,0,0,0,0,0,0,0,0,0.2006,0.0061
LBN,Lebanon,0.197,0.21,0,0.54,0.0184,0,0,0,0,0,0,0,0,0,0,0.03,0.0046
LSO,Lesotho,0.3592,0.5826,0,0.0008,0,0,0.0006,0,0,0.0004,0,0,0,0,0.0504,0.0028,0.0034
LBY,Liberia,0.7546,0.0954,0,0.1125,0,0,0,0,0,0.001,0,0,0,0,0.0264,0.01,0.0001
LBY,Libya,0.02,0.01,0,0.9695,0,0,0,0,0,0,0,0,0,0,0,0,0.0005
LIE,Liechtenstein,0.1002,0.7676,0.0011,0.0548,0.0041,0,0,0,0,0.0003,0,0,0,0,0,0.0546,0.0173
LTU,Lithuania,0.0573,0.7723,0.0018,0.0008,0,0,0,0,0,0,0,0,0,0,0,0.1521,0.0157
LUX,Luxembourg,0.0306,0.88,0.0012,0.02,0,0,0,0,0,0.0031,0,0,0,0,0,0.0496,0.0154
MKD,Macedonia,0.6183,0.0191,0,0.342,0,0,0,0,0,0,0,0,0,0,0,0.019,0.0016
MDG,Madagascar,0.3185,0.2673,0,0.0547,0.0003,0,0.0006,0,0,0.0007,0,0,0,0.0008,0.3508,0.0061,0.0002
MWI,Malawi,0.4725,0.2503,0,0.146,0,0,0.0023,0.0001,0,0.0024,0,0,0,0,0.1199,0.0061,0.0004
MYS,Malaysia,0.0523,0.0303,0,0.61,0.192,0,0.06,0,0,0,0,0,0,0.0251,0.0274,0.0018,0.0011
MDV,Maldives,0.0017,0.0028,0,0.98,0.0042,0,0,0,0,0,0,0,0,0,0,0,0.0113
MLI,Mali,0.0068,0.0232,0,0.94,0,0,0,0,0,0.0001,0,0,0,0,0.028,0.0019,0.0001
MLT,Malta,0.0127,0.96,0.0001,0.01,0,0,0,0,0,0.0005,0,0,0,0,0,0.015,0.0016
MHL,Marshall Islands,0.8441,0.09,0,0,0,0,0,0,0,0.0293,0,0,0,0,0.0128,0.022,0.0017
MRT,Mauritania,0.0011,0.0015,0,0.97,0,0,0,0,0,0.0001,0,0,0,0,0.0052,0.0011,0.021
MUS,Mauritius,0.0623,0.2629,0,0.1732,0.0018,0,0.4859,0.0022,0,0.0005,0,0,0,0.0027,0.0009,0.0071,0.0004
MEX,Mexico,0.1414,0.8272,0.0006,0,0,0,0,0,0,0,0,0,0,0.0003,0.0002,0.0272,0.003
MDA,Moldova,0.7945,0.0268,0.0011,0.036,0,0,0,0,0,0,0,0,0,0,0.001,0.1404,0.0003
MCO,Monaco,0.0532,0.7488,0.0151,0.008,0,0,0,0,0,0,0,0,0,0,0,0.129,0.0459
MNG,Mongolia,0.0192,0.0002,0,0.03,0.53,0,0,0,0,0,0,0,0,0.0164,0.091,0.3095,0.0037
MNE,Montenegro,0.7249,0.0344,0,0.1911,0.0002,0,0,0,0,0,0,0,0,0,0,0.0451,0.0043
MAR,Morocco,0.01,0,0.0002,0.9891,0,0,0,0,0,0,0,0,0,0,0,0,0.0007
MOZ,Mozambique,0.23,0.2434,0,0.2436,0.0001,0,0.0016,0,0,0.0001,0,0,0,0.0002,0.2678,0.0088,0.0044
MMR,Myanmar,0.0639,0.0137,0,0.0417,0.7479,0,0.001,0,0,0.0015,0,0.0001,0.0018,0.002,0.12,0.0049,0.0014
NAM,Namibia,0.5801,0.2899,0.0011,0.0048,0,0,0.0016,0,0,0.0012,0,0,0,0,0.1002,0.0193,0.0017
NRU,Nauru,0.65,0.3199,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0301
NPL,Nepal,0.0141,0.0001,0,0.0439,0.0904,0,0.8134,0,0,0,0,0.0001,0,0,0.0356,0.0019,0.0004
NLD,Netherlands,0.3094,0.27,0.0015,0.058,0.0121,0,0.0065,0.0008,0,0.0004,0,0,0,0.0004,0,0.34,0.0008
NZL,New Zealand,0.3864,0.1543,0.0011,0.0112,0.021,0,0.0199,0.0023,0,0.0017,0,0,0,0.0026,0.0072,0.3919,0.0004
NIC,Nicaragua,0.248,0.6525,0,0.0003,0,0,0,0,0,0,0,0,0,0,0,0.09,0.0092
NER,Niger,0.0236,0.0154,0,0.915,0,0,0,0.0002,0,0.0003,0,0,0,0,0.0404,0.001,0.0041
NGA,Nigeria,0.3103,0.1097,0,0.508,0.0001,0,0,0,0,0.0002,0,0,0,0,0.0668,0.0031,0.0018
PRK,North Korea,0.0149,0.0017,0,0,0.0458,0,0,0,0,0,0,0,0.13,0.0006,0.16,0.6432,0.0038
NOR,Norway,0.8263,0.0138,0.0002,0.0204,0.0028,0,0.0011,0.0002,0,0.0002,0,0,0,0,0,0.1105,0.0246
OMN,Oman,0.0168,0.0166,0,0.8987,0.003,0,0.0262,0.0064,0,0,0,0,0,0,0,0,0.0323
PAK,Pakistan,0.0124,0.0046,0,0.9569,0.0006,0,0.022,0.0003,0,0.0004,0,0,0,0,0.0011,0.001,0.0007
PLW,Palau,0.2574,0.6032,0,0.022,0.0085,0,0.0013,0,0,0.0047,0,0,0,0.0025,0.0842,0.0153,0.001
PAN,Panama,0.1893,0.79,0.0015,0.0031,0.0038,0,0.0001,0,0,0.0058,0,0,0,0.0007,0,0,0.0055
PNG,Papua New Guinea,0.69,0.27,0.0001,0.0003,0.0004,0,0,0,0,0.005,0,0,0,0.0005,0.025,0.0052,0.0035
PRY,Paraguay,0.071,0.88,0.0005,0.0006,0.0023,0,0,0,0,0.0009,0,0,0,0,0.0046,0.03,0.0102
PER,Peru,0.125,0.813,0.0001,0.0002,0.0003,0,0,0,0,0.0003,0,0,0,0,0.0017,0.04,0.0193
PHL,Philippines,0.0871,0.8303,0,0.0555,0.0011,0,0,0,0,0.0017,0,0,0,0.0006,0.0119,0.0093,0.0024
POL,Poland,0.0271,0.8775,0,0.0001,0,0,0,0,0,0,0,0,0,0,0,0.08,0.0152
PRT,Portugal,0.0323,0.825,0.0003,0.0085,0.0056,0,0.0006,0,0,0.0002,0,0,0,0,0,0.0691,0.0583
QAT,Qatar,0.0268,0.1177,0,0.47,0.0215,0,0.2648,0,0,0,0,0,0,0,0,0.0177,0.0815
ROU,Romania,0.9295,0.0456,0.0004,0.004,0,0,0,0,0,0,0,0,0,0,0,0.0163,0.0042
RUS,Russia,0.7346,0.0077,0.0014,0.1157,0,0,0,0,0,0,0,0,0,0,0,0.1404,0.0002
RWA,Rwanda,0.3295,0.565,0,0.046,0,0,0,0,0,0.0018,0,0,0,0,0.0408,0.0035,0.0133
WSM,Samoa,0.7638,0.19,0,0.0003,0.0001,0,0,0,0,0.0053,0,0,0,0.0001,0,0.0146,0.0258
SMR,San Marino,0.0323,0.8308,0,0.0002,0,0,0,0,0,0.0091,0,0,0,0,0,0.106,0.0216
STP,Sao Tome and Principe,0.1141,0.83,0,0.015,0,0,0,0,0,0.0238,0,0,0,0,0.0024,0.0124,0.0023
SAU,Saudi Arabia,0,0.03,0,0.9382,0,0,0.01,0,0,0,0,0,0,0,0,0.02,0.0018
SEN,Senegal,0.0018,0.0331,0,0.9389,0.0001,0,0,0,0,0.0019,0,0,0,0,0.02,0.0017,0.0025
SRB,Serbia,0.8625,0.0497,0.0001,0.031,0,0,0,0,0,0,0,0,0,0,0,0.0528,0.0039
SYC,Seychelles,0.1365,0.8,0,0.0168,0.0038,0.0002,0.0251,0,0,0.006,0.0007,0,0,0,0,0.0097,0.0011
SLE,Sierra Leone,0.1185,0.072,0,0.5532,0,0,0.0005,0,0,0.0007,0,0,0,0,0.2374,0.0122,0.0054
SGP,Singapore,0.112,0.0701,0.0001,0.1422,0.3303,0,0.0505,0.0034,0,0.0012,0.1085,0,0,0.0626,0,0.1178,0.0014
SVK,Slovakia,0.1346,0.6202,0.0004,0.0001,0,0,0,0,0,0.0002,0,0,0,0,0,0.1344,0.11
SVK,Slovenia,0.03,0.64,0.0001,0.03,0,0,0,0,0,0,0,0,0,0,0,0.24,0.0599
SLB,Solomon Islands,0.71,0.19,0,0.0032,0.0033,0,0,0,0,0.006,0,0,0,0,0.05,0.0032,0.0344
SOM,Somalia,0.0005,0,0,0.995,0,0,0.0006,0,0,0.0003,0,0,0,0,0.0007,0.0004,0.0025
ZAF,South Africa,0.7384,0.071,0.0016,0.0169,0.0032,0,0.015,0.0002,0,0.0004,0,0,0.0004,0.0007,0.0796,0.064,0.0086
KOR,South Korea,0.179,0.1069,0,0.0015,0.2255,0,0,0,0.0006,0.0006,0,0,0.0067,0.0009,0.0105,0.4542,0.0135
ESP,Spain,0.046,0.7596,0.0003,0.0304,0.0002,0,0,0,0,0,0,0,0,0,0,0.16,0.0035
LKA,Sri Lanka,0.0123,0.0603,0,0.096,0.7026,0,0.1246,0,0,0,0,0,0,0,0,0.0005,0.0037
KNA,St. Kitts and Nevis,0.6479,0.25,0,0.0028,0,0,0.0095,0,0,0,0,0,0,0,0,0.0888,0.001
LCA,St. Lucia,0.3108,0.611,0,0.001,0,0,0.003,0,0,0,0,0,0,0,0,0.059,0.0152
VCT,St. Vincent and the Grenadines,0.288,0.611,0,0.001,0,0,0.003,0,0,0.0017,0,0,0,0,0,0.019,0.0763
SDN,Sudan,0.0213,0.0502,0,0.71,0,0,0,0,0,0,0,0,0,0,0.2,0.01,0.0085
SUR,Suriname,0.252,0.228,0.0005,0.196,0,0,0.274,0,0,0,0,0,0,0,0.0495,0,0
SWZ,Swaziland,0.5343,0.25,0,0.0066,0,0,0.0015,0,0,0.0045,0,0,0,0,0.1881,0.0118,0.0032
SWE,Sweden,0.7406,0.02,0.0021,0.06,0,0,0,0,0,0,0,0,0,0,0,0.16,0.0173
CHE,Switzerland,0.3315,0.4741,0.0022,0.0411,0.0032,0,0.0031,0,0,0.0005,0,0,0,0,0,0.1342,0.0099
SYR,Syria,0.0566,0.0186,0,0.902,0,0,0,0,0,0,0,0,0,0,0,0.0146,0.0082
TWN,Taiwan,0.0405,0.0136,0,0.0045,0.2508,0,0,0,0,0.0007,0.2078,0,0.0006,0.4005,0.0026,0.07,0.0084
TJK,Tajikistan,0.0202,0,0.0003,0.9,0.0008,0,0,0,0,0.0006,0,0,0,0,0,0.025,0.0532
TZA,Tanzania,0.2583,0.2194,0,0.36,0.0002,0,0.0075,0.0003,0,0.0029,0,0.0002,0,0.0005,0.1369,0.0089,0.0048
THA,Thailand,0.0034,0.0026,0,0.1,0.87,0,0.0008,0.0003,0,0.0001,0,0,0.0011,0.0009,0.0071,0.01,0.0037
TGO,Togo,0.2,0.28,0,0.14,0,0,0,0,0,0.0043,0,0,0,0,0.37,0.0025,0.0032
TON,Tonga,0.8121,0.13,0,0,0.0012,0,0.001,0,0,0.0354,0,0,0,0,0,0.0043,0.0159
TTO,Trinidad and Tobago,0.3399,0.2189,0,0.0503,0,0,0.184,0,0,0,0,0,0,0,0,0.1346,0.0723
TUN,Tunisia,0.0005,0.003,0.0001,0.99,0,0,0,0,0,0,0,0,0,0,0,0,0.0063
TUR,Turkey,0.0037,0.0005,0.0002,0.9858,0,0,0,0,0,0,0,0,0,0,0,0.005,0.0048
TKM,Turkmenistan,0.09,0,0.0001,0.89,0.0001,0,0,0,0,0.0002,0,0,0,0,0,0.01,0.0096
TUV,Tuvalu,0.96,0.0099,0,0.001,0,0,0,0,0,0.0151,0,0,0,0,0,0.007,0.0071
UGA,Uganda,0.4329,0.4001,0.0001,0.12,0.0001,0,0.0058,0.0001,0,0.0016,0,0.0001,0,0.0001,0.0337,0.0043,0.0011
UKR,Ukraine,0.848,0.004,0.0015,0.0099,0.001,0,0,0,0,0,0,0,0,0,0,0.1348,0.0009
ARE,United Arab Emirates,0.0417,0.0297,0,0.6748,0.0035,0,0.2225,0,0,0.01,0,0,0,0,0,0.0136,0.0041
GBR,United Kingdom,0.5554,0.0709,0.0042,0.0434,0.004,0.0001,0.0131,0.0068,0,0.0001,0.0001,0.0003,0,0.0036,0.0013,0.2616,0.0351
USA,United States of America,0.4947,0.2507,0.019,0.009,0.0109,0.0053,0.0057,0.0013,0.0005,0.0015,0,0.0003,0.0003,0.0026,0.0057,0.19,0.0025
URY,Uruguay,0.3473,0.471,0.003,0.0003,0,0,0,0,0,0.0012,0,0,0,0,0,0.172,0.0052
UZB,Uzbekistan,0.05,0,0.0001,0.93,0,0,0,0,0,0,0,0,0,0,0,0.0179,0.002
VUT,Vanuatu,0.73,0.12,0,0,0.002,0,0,0,0,0.05,0,0,0,0,0.0451,0.0331,0.0198
VEN,Venezuela,0.15,0.8,0.0006,0.001,0.0004,0,0,0,0,0.0003,0,0,0,0.0002,0.0019,0.0439,0.0016
VNM,Vietnam,0.011,0.08,0,0.0011,0.49,0,0.0006,0,0,0.0037,0,0,0,0.0093,0.04,0.364,0.0003
YEM,Yemen,0,0,0,0.99,0,0,0,0,0,0,0,0,0,0,0,0,0.01
ZMB,Zambia,0.5153,0.3547,0.0001,0.0055,0.0003,0,0.005,0,0,0.0111,0,0,0,0,0.1049,0.0018,0.0013
ZWE,Zimbabwe,0.6293,0.1895,0.0009,0.0107,0,0,0.0015,0,0,0.0021,0,0,0,0,0.1354,0.0256,0.0049
